Image Name	Altitude [km]	Roll Angle [º]	Corrected Roll [º]	Pitch Angle [º]	Corrected Pitch [º]	Latency [s]	Rate [Hz]
../testImages/400r0.png	400	-0.00913426	-0.00286917	1.90319	0.0332091	0.0005	2000
../testImages/400r5.png	400	-5.01469	-5.02191	1.92077	0.0549195	0.00048	2083.33
../testImages/400r10.png	400	-9.97443	-9.99682	2.11218	0.291377	0.000512	1953.12
../testImages/400r15.png	400	-14.9759	-15.0154	2.38396	0.627043	0.000488	2049.18
../testImages/400r20.png	400	-19.932	-19.9903	2.76091	1.09249	0.000485	2061.86
../testImages/375p0.png	375	-2.78203e-05	0.00701006	1.90032	0.032342	0.000476	2100.84
../testImages/375p5.png	375	-0.025591	-0.0186943	5.87398	4.93283	0.000436	2293.58
../testImages/375p10.png	375	-0.0076829	-0.000687292	10.0136	10.0228	0.000389	2570.69
../testImages/375p15.png	375	-0.0152105	-0.00825652	14.0961	15.0275	0.000377	2652.52
../testImages/375p20.png	375	-0.0404692	-0.0336547	18.1524	19.9851	0.000367	2724.8
../testImages/375r0.png	375	-2.78203e-05	0.00701006	1.90032	0.032342	0.000236	4237.29
../testImages/375r5.png	375	-5.01076	-5.03252	1.90733	0.041002	0.000504	1984.13
../testImages/375r10.png	375	-9.95471	-10.0071	2.10027	0.279268	0.000472	2118.64
../testImages/375r15.png	375	-14.9019	-14.9872	2.3575	0.596879	0.000484	2066.12
../testImages/375r20.png	375	-19.9145	-20.0353	2.73256	1.05988	0.000495	2020.2
../testImages/350p0.png	350	0.00530593	0.0131393	1.8947	0.0280788	0.000491	2036.66
../testImages/350p5.png	350	-0.0363287	-0.0288507	5.87143	4.93121	0.000435	2298.85
../testImages/350p10.png	350	-0.014599	-0.00693556	10.0105	10.0202	0.000387	2583.98
../testImages/350p15.png	350	-0.00544111	0.0023005	14.0976	15.0307	0.000375	2666.67
../testImages/350p20.png	350	-0.0150395	-0.00737984	18.1489	19.9834	0.000497	2012.07
../testImages/350r0.png	350	0.00530593	0.0131393	1.8947	0.0280788	0.000472	2118.64
../testImages/350r5.png	350	-5.03071	-5.06721	1.90074	0.0355358	0.000465	2150.54
../testImages/350r10.png	350	-9.90918	-9.99124	2.07818	0.254604	0.000286	3496.5
../testImages/350r15.png	350	-14.8792	-15.0103	2.33201	0.567931	0.000484	2066.12
../testImages/350r20.png	350	-19.7978	-19.98	2.70713	1.03088	0.000507	1972.39
../testImages/325p0.png	325	0.00243272	0.0109989	1.88548	0.0193846	0.000464	2155.17
